label,seed,observation_index,I1_A,I2_A,I3_A,dSOC1,dSOC2,dSOC3,charging_time_s,temperature_rise_K,degradation_proxy_au
A,8409,29,6.0,5.0,3.0,0.4,0.2999951281178859,0.1000048718821141,2880.0,7.566964191322911,1.2606511928531257
B,8410,41,3.4751915894389724,3.6332775067688132,3.0,0.1,0.21853023729214682,0.48146976270785324,4490.0,3.2920911428164916,0.8259287242697939
C,8411,25,2.7822368877007393,2.0,3.0,0.2114557877991428,0.1,0.4885442122008573,5199.0,3.0693375911278964,0.680413947411352
D,8412,31,2.0,3.9416889122463425,3.0,0.4,0.1,0.30000000000000004,5857.0,3.049069056965027,0.5729905791846868
E,8413,52,2.0,2.0,2.0,0.24459565881610779,0.15264080714266048,0.4027635340412318,7200.0,1.5284471887453095,0.6401365294994713
